Weight bias,Access to health professionals,-0.54603226
Public health messaging around thinness,Pressure to be thin,0.493806059
Dysfunctional adipose tissue,Blood pressure,0.409091008
Dysfunctional adipose tissue,Dyslipidemia,0.593683274
Aesthetics,Utilitarian physical activity ,0.409091008
Obesity,Unhealthy weight control practices,0.522214679
Obesity,Asthma-like symptoms,0.75
Marketing ratio of unhealthy to healthy foods,Supportive food environment,-0.645175194
Dyslipidemia,Atherosclerosis,0.916333333
Physical well-being,Mental well-being,0.625
Public support and demand for healthy products,Cost of unhealthy foods,0.245078194
Musculoskeletal pain,Physical well-being,-0.688247263
Coronary heart diseases,Exercise,-0.58594601
